id,question,reference_answer,student_answer,label
FF.Q1.SBJ39.L1.SA225,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Because there is no gap at terminal 1,3
FF.Q1.SBJ39.L1.SA226,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,there is a gap at terminal 1,1
FF.Q1.SBJ39.L1.SA227,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,the positive battery terminal is separated by a gap,2
FF.Q1.SBJ40.L1.SA215,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,The voltage is 1.5 because thebulb terminal is connected to the battery terminal.,1
FF.Q1.SBJ40.L1.SA216,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,the voltage is 1.5 because he bulb terminal is connected to the battery terminal.,1
FF.Q1.SBJ40.L1.SA217,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,there is no gap between terminal 1 and the psoitive terminal,1
FF.Q1.SBJ40.L1.SA218,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,i dint know.,4
FF.Q1.SBJ40.L1.SA219,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,the two components are seperated.,2
FF.Q1.SBJ42.L1.SA202,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,The positive terminal is not seperated by a gap.,1
FF.Q1.SBJ42.L1.SA203,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,A terminal is connected to a bulb.,1
FF.Q1.SBJ42.L1.SA204,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,A terminal is not connected to the positive battery terminal.,2
FF.Q1.SBJ43.L1.SA201,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,the positive terminal and terminal 1 are seperated by a gap,0
FF.Q1.SBJ45.L1.SA192,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,because the positive terminal is separated with a gap from terminal 1,0
FF.Q1.SBJ45.L1.SA193,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,the gap separates the positive battery terminal from terminal 1,0
FF.Q1.SBJ46.L1.SA206,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,positive connected to negative terminal,1
FF.Q1.SBJ46.L1.SA207,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,positive charge,1
FF.Q1.SBJ46.L1.SA208,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,terminal connected to negative,2
FF.Q1.SBJ47.L1.SA219,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,terminal 1 is connected to the negative terminal,0
FF.Q1.SBJ7.L1.SA185,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,terminal 1 is not connected to the positive terminal,0
FF.Q1.SBJ8.L1.SA223,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Because terminal 1 is connected to the positive battery terminal,1
FF.Q1.SBJ8.L1.SA224,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,because terminal 1 is not seperated by any gaps,1
FF.Q1.SBJ8.L1.SA225,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,because terminal one is  connected to both the negative and positive battery terminal,1
FF.Q1.SBJ8.L1.SA226,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,no,4
FF.Q1.SBJ8.L1.SA227,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,i do not understand,4
FF.Q1.SBJ8.L1.SA228,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Terminal 1 is seperated from the positive terminal,0
FF.Q1.SBJ9.L1.SA189,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,the positive battery terminal is not connected to terminal 1.,0
FF.Q1.SBJB1.L1.SA166,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,The terminal is connected to a positive circuit.,1
FF.Q1.SBJB10.L1.SA159,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,because there was a positive and negative connection,1
FF.Q1.SBJB12.L1.SA165,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Because they have different electrical states,2
FF.Q1.SBJB13.L1.SA161,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,The positive battery terminal is separated by a gap from terminal 1.,0
FF.Q1.SBJB15.L1.SA161,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,because it is not connected to the positive battery,2
FF.Q1.SBJB16.L1.SA161,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,the bulb was not damaged,1
FF.Q1.SBJB18.L1.SA171,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,I dont know,4
FF.Q1.SBJB19.L1.SA164,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Terminal 1 is connected to the positive battery terminal.,1
FF.Q1.SBJB2.L1.SA170,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,It was separted by a gap.,2
FF.Q1.SBJB20.L1.SA171,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Terminal 1 was connected to the positive terminal.,1
FF.Q1.SBJB22.L1.SA170,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,it is connected to the batteries positive terminal,1
FF.Q1.SBJB25.L1.SA164,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Because they are not damaged.,1
FF.Q1.SBJB26.L1.SA160,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Because they are not connected.,0
FF.Q1.SBJB27.L1.SA159,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,terminal 1 is connected to the negative battery terminal,0
FF.Q1.SBJB28.L1.SA164,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,"the two aren""t connected",0
FF.Q1.SBJB29.L1.SA163,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,the terminals are not connected to each other,0
FF.Q1.SBJB30.L1.SA166,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,the terminals are not connected to each other.,0
FF.Q1.SBJB31.L1.SA159,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,because there is a gap,2
FF.Q1.SBJB32.L1.SA163,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Because their was a connected circuit.,1
FF.Q1.SBJB34.L1.SA159,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Terminal 1 and the positive terminal had different electrical states.,2
FF.Q1.SBJB35.L1.SA160,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,"Becuase the + was making  contact with terminal 1, closing the battery""s circuit.",1
FF.Q1.SBJB36.L1.SA159,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Because bulb c created a gap so then it had both a positive and negative charge.,1
FF.Q1.SBJB37.L1.SA159,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Its connected to the positive terminal,1
FF.Q1.SBJB39.L1.SA162,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,The positive battery is separated by a gap with terminal 1.,0
FF.Q1.SBJB4.L1.SA161,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,the terminals are not connected,0
FF.Q1.SBJB40.L1.SA160,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Terminal 1 is not connected to the battery.,1
FF.Q1.SBJB41.L1.SA162,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,There was a connection between terminal 1 and the positive terminal,1
FF.Q1.SBJB42.L1.SA162,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Terminal one is not connected to the positive battery terminal,0
FF.Q1.SBJB6.L1.SA162,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,The positive battery was not connected to terminal one.,0
FF.Q1.SBJB7.L1.SA159,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Different electrical states.,3
FF.Q1.SBJB9.L1.SA175,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap,Terminal 1 is not connected to the positive battery terminal.,0
FF.Q10.SBJ10.L1.SA159,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",because they are connected to the positive battery terminal,0
FF.Q10.SBJ11.L1.SA166,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",because those terminals are connected to the positive terminal of the battery.,0
FF.Q10.SBJ13.L1.SA158,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",because of the gap in bulb b.,2
FF.Q10.SBJ13.L1.SA159,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",because of the gap in the circuit.,2
FF.Q10.SBJ13.L1.SA160,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal","the negative battery terminal is connected to bulb terminal 1,2 and 3 only.",0
FF.Q10.SBJ13.L1.SA161,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",terminal 4. terminal 5 and terminal 6 are not connected to the negative battery terminal.,0
FF.Q10.SBJ15.L1.SA173,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",because they are in a closed path,1
FF.Q10.SBJ15.L1.SA174,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",because they are connected to the negative battery terminal,1
FF.Q10.SBJ18.L1.SA137,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",The other terminals are only connected to the positive battery terminal.,0
FF.Q10.SBJ18.L1.SA138,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",The other terminals are not connected to the negative battery terminal.,0
FF.Q10.SBJ18.L1.SA139,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal","Terminals 4, 5, and 6 are only connected to the positive battery terminal.",0
FF.Q10.SBJ19.L1.SA178,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",they are connected to the positive terminal,0
FF.Q10.SBJ22.L1.SA159,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal","terminal 4, terminal 5, terminal 6 are connected to the positive battery terminal",0
FF.Q10.SBJ22.L1.SA160,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal","Terminal 4, terminal 5, and terminal 6 are connected to the positive terminal",0
FF.Q10.SBJ23.L1.SA139,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal","Terminal 4, terminal 5, and terminal 6 is connected to the positive battery terminal.",0
FF.Q10.SBJ24.L1.SA150,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",they have electricty passing through them,1
FF.Q10.SBJ24.L1.SA151,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",because of the gap in bulb B,2
FF.Q10.SBJ24.L1.SA152,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",terminal is connected to postive end of battery,1
FF.Q10.SBJ24.L1.SA153,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",your an idiot,4
FF.Q10.SBJ26.L1.SA167,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",bulb b is a gap,2
FF.Q10.SBJ27.L1.SA151,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",there is a gap,2
FF.Q10.SBJ27.L1.SA152,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal","the electricity can""t pass through",3
FF.Q10.SBJ27.L1.SA153,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",there is a separation between the bulbs and the negative battery terminal,2
FF.Q10.SBJ3.L1.SA143,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",becuase the other terminals are connected to the positive battery terminal,1
FF.Q10.SBJ31.L1.SA145,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",because of the damaged bulb,2
FF.Q10.SBJ31.L1.SA147,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",because the bulb b is damaged and is connected to the terminal,1
FF.Q10.SBJ31.L1.SA148,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",4 5 and 6 are not connected to negative battery terminal,0
FF.Q10.SBJ33.L1.SA143,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal","terminals 4,5, and 6 are connected to the positive terminal",0
FF.Q10.SBJ34.L1.SA136,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",They are not connected to the negative terminal,0
FF.Q10.SBJ35.L1.SA148,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",They are on the opposite side of the damaged bulb.,2
FF.Q10.SBJ35.L1.SA149,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",The terminal is connected to the positive battery terminal.,0
FF.Q10.SBJ38.L1.SA134,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal","there is a gap in the circuit that causes a gap between terminals 1,2,and 3 and 4,5,and 6",2
FF.Q10.SBJ38.L1.SA135,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal","there is a gap in the circuit. terminals 1,2, and 3 are connected to the negative terminal of the battery. terminals 4,5, and 6 are connected to the positive terminal of the battery",0
FF.Q10.SBJ39.L1.SA158,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",because only one of the bulb terminals is bad.,1
FF.Q10.SBJ39.L1.SA159,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal","Because one of the bulb terminals is bad, and the other ones are good.",1
FF.Q10.SBJ39.L1.SA160,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",a terminal is connected to another terminal,2
FF.Q10.SBJ40.L1.SA156,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",the other terminals are connected to the positive terminal.,2
FF.Q10.SBJ40.L1.SA157,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal","terminals 3, 4, and 5 are connected to the positive battery terrminal.",1
FF.Q10.SBJ42.L1.SA151,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal","Terminal 4, terminal 5 and terminal 6 are connected to the positive battery terminal.",0
FF.Q10.SBJ45.L1.SA140,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",beacuse they are connected to a positive batter terminal,0
FF.Q10.SBJ45.L1.SA141,Why do you think the other terminals are being held in a different electrical state than that of the negative terminal?,"Terminals 4, 5 and 6 are not connected to the negative battery terminal",i dont know,4
